Year,Description,Employees (units of 500 jobs),Actual Employees (Number of Jobs),Compensation (units of $20M),Actual Compensation (Thousands of Dollars)
2009,Wholesale and transportation industries,2,832.0,2,41021.0
2010,Advertising,3,1319.0,3,55917.0
2010,Agents/managers for artists,0,10.0,0,319.0
2010,All other design services,0,12.0,0,447.0
2010,All other industries 2/,4,1762.0,5,93146.0
2010,Architectural services,2,770.0,3,53910.0
2010,Broadcasting,8,3994.0,11,225453.0
2010,Computer systems design,0,114.0,0,8295.0
2010,Construction,5,2257.0,7,140979.0
2010,Custom architectural woodwork and metalwork manufacturing,1,324.0,1,14087.0
2010,Education services,2,855.0,1,26129.0
2010,Fine arts education,1,392.0,1,10710.0
2010,Government,50,25037.0,37,739776.0
2010,Grantmaking and giving services,0,159.0,0,4150.0
2010,Graphic design services,1,269.0,1,11627.0
2010,"Independent artists, writers, and performers",1,354.0,0,8841.0
2010,Industrial design services,0,248.0,0,8106.0
2010,Interior design services,0,86.0,0,1989.0
2010,Jewelry and silverware manufacturing,0,8.0,0,344.0
2010,Landscape architectural services,0,89.0,0,5140.0
2010,Motion pictures,4,1802.0,2,32089.0
2010,Museums,2,815.0,1,16540.0
2010,Musical instruments manufacturing,0,,0,
2010,Other goods manufacturing,0,249.0,1,17916.0
2010,Other information services,1,265.0,1,13678.0
2010,Other support services,0,23.0,0,884.0
2010,Performing arts companies,0,,0,
2010,Photography and photofinishing services,0,,0,
2010,Printed goods manufacturing,3,1314.0,3,59417.0
2010,Promoters of performing arts and similar events,1,355.0,1,15427.0
2010,Publishing,7,3629.0,10,198714.0
2010,Rental and leasing,0,,0,
2010,Retail industries,11,5529.0,6,118947.0
2010,Sound recording,0,27.0,0,1038.0
2010,Unions,1,411.0,1,10854.0
2010,Wholesale and transportation industries,2,973.0,3,50876.0
2011,Advertising,3,1397.0,3,61675.0
2011,Agents/managers for artists,0,9.0,0,543.0
2011,All other design services,0,7.0,0,331.0
2011,All other industries 2/,3,1721.0,5,93183.0
2011,Architectural services,2,787.0,3,58118.0
2011,Broadcasting,8,4009.0,11,223790.0
2011,Computer systems design,0,127.0,0,9627.0
2011,Construction,4,2066.0,7,136700.0
2011,Custom architectural woodwork and metalwork manufacturing,0,,0,
2011,Education services,2,899.0,1,28921.0
2011,Fine arts education,1,387.0,1,10078.0
2011,Government,50,25065.0,38,764482.0
2011,Grantmaking and giving services,0,159.0,0,4977.0
2011,Graphic design services,1,320.0,1,14782.0
2011,"Independent artists, writers, and performers",1,346.0,0,9067.0
2011,Industrial design services,0,230.0,0,9223.0
2011,Interior design services,0,83.0,0,2027.0
2011,Jewelry and silverware manufacturing,0,6.0,0,220.0
2011,Landscape architectural services,0,74.0,0,4470.0
2011,Motion pictures,3,1739.0,2,32006.0
2011,Museums,2,822.0,1,17092.0
2011,Musical instruments manufacturing,0,21.0,0,1921.0
2011,Other goods manufacturing,0,194.0,1,15981.0
2011,Other information services,1,279.0,1,17532.0
2011,Other support services,0,19.0,0,463.0
2011,Performing arts companies,0,,0,
2011,Photography and photofinishing services,0,,0,
2011,Printed goods manufacturing,3,1263.0,3,60108.0
2011,Promoters of performing arts and similar events,1,498.0,1,19522.0
2011,Publishing,7,3520.0,10,200528.0
2011,Rental and leasing,0,,0,
2011,Retail industries,12,6115.0,7,147068.0
2011,Sound recording,0,31.0,0,1604.0
2011,Unions,1,441.0,1,10621.0
2011,Wholesale and transportation industries,2,1003.0,3,53798.0
2012,Advertising,3,1429.0,3,66361.0
2012,Agents/managers for artists,0,3.0,0,131.0
2012,All other design services,0,8.0,0,485.0
2012,All other industries 2/,3,1614.0,4,89734.0
2012,Architectural services,1,744.0,3,54833.0
2012,Broadcasting,8,3976.0,12,232144.0
2012,Computer systems design,0,140.0,1,11214.0
2012,Construction,2,1013.0,3,67121.0
2012,Custom architectural woodwork and metalwork manufacturing,1,375.0,1,17596.0
2012,Education services,2,929.0,2,31545.0
2012,Fine arts education,1,399.0,0,9451.0
2012,Government,50,25167.0,39,771240.0
2012,Grantmaking and giving services,0,173.0,0,5122.0
2012,Graphic design services,1,268.0,1,18831.0
2012,"Independent artists, writers, and performers",1,465.0,0,9598.0
2012,Industrial design services,0,229.0,1,12580.0
2012,Interior design services,0,82.0,0,3569.0
2012,Jewelry and silverware manufacturing,0,9.0,0,229.0
2012,Landscape architectural services,0,83.0,0,4972.0
2012,Motion pictures,3,1678.0,2,32381.0
2012,Museums,2,849.0,1,23377.0
2012,Musical instruments manufacturing,0,22.0,0,1966.0
2012,Other goods manufacturing,0,202.0,1,14806.0
2012,Other information services,0,,0,
2012,Other support services,0,15.0,0,475.0
2012,Performing arts companies,0,,0,
2012,Photography and photofinishing services,0,,0,
2012,Printed goods manufacturing,2,1234.0,3,60871.0
2012,Promoters of performing arts and similar events,1,471.0,1,21345.0
2012,Publishing,7,3307.0,10,198927.0
2012,Rental and leasing,0,,0,
2012,Retail industries,12,6215.0,8,150823.0
2012,Sound recording,0,42.0,0,2669.0
2012,Unions,1,392.0,1,11098.0
2012,Wholesale and transportation industries,2,957.0,3,53262.0
2013,Advertising,3,1345.0,3,66948.0
2013,Agents/managers for artists,0,15.0,0,546.0
2013,All other design services,0,9.0,0,418.0
2013,All other industries 2/,3,1563.0,4,88238.0
2013,Architectural services,1,742.0,3,57044.0
2013,Broadcasting,7,3731.0,11,224673.0
2013,Computer systems design,0,170.0,1,12632.0
2013,Construction,1,629.0,2,42588.0
2013,Custom architectural woodwork and metalwork manufacturing,1,405.0,1,19702.0
2013,Education services,2,829.0,1,28382.0
2013,Fine arts education,1,431.0,0,9686.0
2013,Government,50,25143.0,39,789432.0
2013,Grantmaking and giving services,0,173.0,0,5155.0
2013,Graphic design services,1,300.0,1,15032.0
2013,"Independent artists, writers, and performers",1,348.0,0,8278.0
2013,Industrial design services,0,213.0,0,8165.0
2013,Interior design services,0,92.0,0,2600.0
2013,Jewelry and silverware manufacturing,0,5.0,0,163.0
2013,Landscape architectural services,0,79.0,0,5170.0
2013,Motion pictures,3,1622.0,2,30842.0
2013,Museums,2,938.0,1,27253.0
2013,Musical instruments manufacturing,0,21.0,0,1575.0
2013,Other goods manufacturing,0,207.0,1,15202.0
2013,Other information services,0,,0,
2013,Other support services,0,8.0,0,233.0
2013,Performing arts companies,0,,0,
2013,Photography and photofinishing services,0,,0,
2013,Printed goods manufacturing,3,1283.0,3,62570.0
2013,Promoters of performing arts and similar events,1,526.0,1,21923.0
2013,Publishing,6,3090.0,10,195561.0
2013,Rental and leasing,1,282.0,0,8756.0
2013,Retail industries,11,5366.0,6,129952.0
2013,Sound recording,0,,0,
2013,Unions,1,313.0,0,7530.0
2013,Wholesale and transportation industries,2,919.0,3,51723.0
2014,Advertising,0,,0,
2014,Agents/managers for artists,0,3.0,0,192.0
2014,All other design services,0,9.0,0,492.0
2014,All other industries 2/,3,1589.0,5,92743.0
2014,Architectural services,1,748.0,3,61428.0
2014,Broadcasting,7,3692.0,12,234038.0
2014,Computer systems design,0,165.0,1,12864.0
2014,Construction,1,637.0,2,45370.0
2014,Custom architectural woodwork and metalwork manufacturing,1,378.0,1,18967.0
2014,Education services,2,797.0,1,28779.0
2014,Fine arts education,1,466.0,1,12073.0
2014,Government,50,25056.0,41,819020.0
2014,Grantmaking and giving services,0,186.0,0,5193.0
2014,Graphic design services,1,311.0,1,19620.0
2014,"Independent artists, writers, and performers",1,392.0,0,7607.0
2014,Industrial design services,0,234.0,1,11740.0
2014,Interior design services,0,112.0,0,4658.0
2014,Jewelry and silverware manufacturing,0,3.0,0,72.0
2014,Landscape architectural services,0,79.0,0,5939.0
2014,Motion pictures,3,1611.0,2,32742.0
2014,Museums,2,954.0,1,29099.0
2014,Musical instruments manufacturing,0,,0,
2014,Other goods manufacturing,0,244.0,1,17622.0
2014,Other information services,1,359.0,1,29546.0
2014,Other support services,0,8.0,0,259.0
2014,Performing arts companies,0,,0,
2014,Photography and photofinishing services,1,447.0,1,29005.0
2014,Printed goods manufacturing,2,1201.0,3,60894.0
2014,Promoters of performing arts and similar events,1,523.0,1,23891.0
2014,Publishing,6,3009.0,10,199288.0
2014,Rental and leasing,1,293.0,0,9582.0
2014,Retail industries,10,5206.0,6,127325.0
2014,Sound recording,0,,0,
2014,Unions,1,275.0,0,6671.0
2014,Wholesale and transportation industries,2,859.0,2,48963.0
2015,Advertising,3,1483.0,4,76994.0
2015,Agents/managers for artists,0,4.0,0,206.0
2015,All other design services,0,10.0,0,490.0
2015,All other industries 2/,3,1639.0,5,98293.0
2015,Architectural services,2,761.0,3,65895.0
2015,Broadcasting,7,3545.0,12,234018.0
2015,Computer systems design,0,173.0,1,13836.0
2015,Construction,1,687.0,3,50554.0
2015,Custom architectural woodwork and metalwork manufacturing,1,412.0,1,21989.0
2015,Education services,2,784.0,1,27706.0
2015,Fine arts education,1,452.0,1,12397.0
2015,Government,49,24607.0,42,849358.0
2015,Grantmaking and giving services,0,189.0,0,5602.0
2015,Graphic design services,1,324.0,1,20315.0
2015,"Independent artists, writers, and performers",1,413.0,0,7692.0
2015,Industrial design services,0,185.0,0,9257.0
2015,Interior design services,0,129.0,0,5096.0
2015,Jewelry and silverware manufacturing,0,3.0,0,171.0
2015,Landscape architectural services,0,78.0,0,5865.0
2015,Motion pictures,3,1649.0,2,32966.0
2015,Museums,2,944.0,1,26296.0
2015,Musical instruments manufacturing,0,23.0,0,1691.0
2015,Other goods manufacturing,1,260.0,1,18811.0
2015,Other information services,1,373.0,2,33652.0
2015,Other support services,0,7.0,0,260.0
2015,Performing arts companies,1,370.0,1,15854.0
2015,Photography and photofinishing services,1,463.0,1,28177.0
2015,Printed goods manufacturing,2,1110.0,3,56218.0
2015,Promoters of performing arts and similar events,1,547.0,1,24722.0
2015,Publishing,6,2883.0,10,197117.0
2015,Rental and leasing,1,292.0,1,10792.0
2015,Retail industries,10,5036.0,6,124101.0
2015,Sound recording,0,50.0,0,3370.0
2015,Unions,1,270.0,0,6354.0
2015,Wholesale and transportation industries,2,952.0,3,58106.0
2016,Advertising,3,1486.0,4,82217.0
2016,Agents/managers for artists,0,4.0,0,177.0
2016,All other design services,0,12.0,0,531.0
2016,All other industries 2/,3,1647.0,5,100758.0
2016,Architectural services,1,745.0,3,65695.0
2016,Broadcasting,7,3508.0,12,232193.0
2016,Computer systems design,0,182.0,1,14343.0
2016,Construction,2,893.0,3,67989.0
2016,Custom architectural woodwork and metalwork manufacturing,1,436.0,1,23487.0
2016,Education services,2,853.0,2,31186.0
2016,Fine arts education,1,476.0,1,13572.0
2016,Government,50,24878.0,44,885660.0
2016,Grantmaking and giving services,0,184.0,0,4652.0
2016,Graphic design services,1,335.0,1,19839.0
2016,"Independent artists, writers, and performers",1,551.0,0,8144.0
2016,Industrial design services,0,173.0,0,9847.0
2016,Interior design services,0,136.0,0,5352.0
2016,Jewelry and silverware manufacturing,0,3.0,0,80.0
2016,Landscape architectural services,0,78.0,0,7335.0
